Date,Day Number,Task Title,Daily Focus (4 hrs),Assigned To
"Tuesday, May 19",Day 1,GitHub Setup & README (4 hrs),"- Fix ReadMe.py to README.md (30 min)
- Paste in full README content (30 min)
- Confirm Snake_Game.py is uploaded correctly (30 min)
- Read through Snake_Game.py top to bottom (1.5 hrs)
- Note which lines handle visuals vs gameplay (1 hr)",Alexander (Team Lead)
"Wednesday, May 20",Day 2,Code Exploration (4 hrs),"- Identify where colors and visuals are defined (1 hr)
- Identify where speed and scoring are defined (1 hr)
- Plan exactly what visual change to make (1 hr)
- Plan exactly what gameplay change to make (1 hr)
- Write notes in a comment block at top of Snake_Game.py",Alexander (Team Lead)
"Thursday, May 21",Day 3,Visual Change (4 hrs),"- Make visual modification (color, background, snake appearance) (1.5 hrs)
- Test it runs correctly (30 min)
- Add inline comments explaining the change (1 hr)
- Commit to GitHub with message: Add visual change (1 hr)",Developer 1
"Friday, May 22",Day 4,Gameplay Change (4 hrs),"- Add SPACE bar restart feature (1.5 hrs)
- Add one gameplay change (speed increase or scoring rule) (1 hr)
- Test both changes work correctly (30 min)
- Add inline comments explaining changes (30 min)
- Commit to GitHub with message: Add gameplay changes and SPACE restart",Developer 2
"Saturday, May 23",Day 5,Buffer & Catch-Up (4 hrs),"- Review all changes made so far (30 min)
- Fix any bugs found during testing (1 hr)
- Update README Changes Made So Far section (1.5 hrs)
- Commit README updates to GitHub (1 hr)",All Team
"Monday, May 26",Day 6,Code Refactor (4 hrs),"- Add full docstrings to move() function (30 min)
- Add full docstrings to draw() function (30 min)
- Add full docstrings to change_direction() function (30 min)
- Add full docstrings to reset_game() function (30 min)
- Clean up variable names and spacing - commit to GitHub (2 hrs)",Alexander (Team Lead)
"Tuesday, May 27",Day 7,Stretch Goal: Sound (4 hrs),"- Research pygame.mixer for background music (1 hr)
- Install pygame: pip install pygame (15 min)
- Add background music or food eaten sound effect (1.5 hrs)
- Test sound works without crashing game (45 min)
- Document change and commit to GitHub (30 min)",All Team
"Wednesday, May 28",Day 8,Stretch Goal #2 (4 hrs),"- Choose second stretch goal: bonus points, high score, or splash screen (30 min)
- Implement the chosen stretch goal (2 hrs)
- Test it runs cleanly (30 min)
- Add inline comments and commit to GitHub (1 hr)",All Team
"Thursday, May 29",Day 9,Full Documentation (4 hrs),"- Update README with all completed changes (1 hr)
- Add before/after code snippets for each change (1 hr)
- Fill in testing table with pass/fail results (30 min)
- Verify attribution section credits ImKennyYip correctly (30 min)
- Final README review and commit (1 hr)",Alexander (Team Lead)
"Friday, May 30",Day 10,Testing & Polish (4 hrs),"- Full playthrough: test all features work together (1 hr)
- Fix any remaining bugs (1 hr)
- PEP 8 code cleanup: spacing, naming, formatting (1 hr)
- Final README check - make sure everything is 
